G_RIF40_COMPARISON_AREAS,AREA_ID,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=G_RIF40_COMPARISON_AREAS&11owner_hide=RIF40&11table_name_hide=G_RIF40_COMPARISON_AREAS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">G_RIF40_COMPARISON_AREAS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=G_RIF40_COMPARISON_AREAS&column_name_hide=AREA_ID&11owner_hide=RIF40&11table_name_hide=G_RIF40_COMPARISON_AREAS&11column_name_hide=AREA_ID&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=AREA_ID&01grp=AREA_ID\" name=\"web_column_rif40_g_rif40_comparison_areas_area_id\" title=\"Describe AREA_ID [VARCHAR2(300)]\">AREA_ID</a>",NOT NULL,VARCHAR2(300),"An area id, the value of a geolevel; i.e. the value of the column T_RIF40_GEOLEVELS.GEOLEVEL_NAME in table T_RIF40_GEOLEVELS.LOOKUP_TABLE"
G_RIF40_COMPARISON_AREAS,STUDY_ID,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=G_RIF40_COMPARISON_AREAS&11owner_hide=RIF40&11table_name_hide=G_RIF40_COMPARISON_AREAS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">G_RIF40_COMPARISON_AREAS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=G_RIF40_COMPARISON_AREAS&column_name_hide=STUDY_ID&11owner_hide=RIF40&11table_name_hide=G_RIF40_COMPARISON_AREAS&11column_name_hide=STUDY_ID&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=STUDY_ID&01grp=STUDY_ID\" name=\"web_column_rif40_g_rif40_comparison_areas_study_id\" title=\"Describe STUDY_ID [NUMBER(8)]\">STUDY_ID</a>",NOT NULL,NUMBER(8),Unique study index: study_id. Created by SEQUENCE rif40_study_id_seq
G_RIF40_STUDY_AREAS,AREA_ID,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=G_RIF40_STUDY_AREAS&11owner_hide=RIF40&11table_name_hide=G_RIF40_STUDY_AREAS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">G_RIF40_STUDY_AREAS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=G_RIF40_STUDY_AREAS&column_name_hide=AREA_ID&11owner_hide=RIF40&11table_name_hide=G_RIF40_STUDY_AREAS&11column_name_hide=AREA_ID&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=AREA_ID&01grp=AREA_ID\" name=\"web_column_rif40_g_rif40_study_areas_area_id\" title=\"Describe AREA_ID [VARCHAR2(300)]\">AREA_ID</a>",NOT NULL,VARCHAR2(300),"An area id, the value of a geolevel; i.e. the value of the column T_RIF40_GEOLEVELS.GEOLEVEL_NAME in table T_RIF40_GEOLEVELS.LOOKUP_TABLE"
G_RIF40_STUDY_AREAS,BAND_ID,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=G_RIF40_STUDY_AREAS&11owner_hide=RIF40&11table_name_hide=G_RIF40_STUDY_AREAS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">G_RIF40_STUDY_AREAS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=G_RIF40_STUDY_AREAS&column_name_hide=BAND_ID&11owner_hide=RIF40&11table_name_hide=G_RIF40_STUDY_AREAS&11column_name_hide=BAND_ID&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=BAND_ID&01grp=BAND_ID\" name=\"web_column_rif40_g_rif40_study_areas_band_id\" title=\"Describe BAND_ID [NUMBER(2)]\">BAND_ID</a>",NULL,NUMBER(2),A band allocated to the area
G_RIF40_STUDY_AREAS,STUDY_ID,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=G_RIF40_STUDY_AREAS&11owner_hide=RIF40&11table_name_hide=G_RIF40_STUDY_AREAS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">G_RIF40_STUDY_AREAS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=G_RIF40_STUDY_AREAS&column_name_hide=STUDY_ID&11owner_hide=RIF40&11table_name_hide=G_RIF40_STUDY_AREAS&11column_name_hide=STUDY_ID&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=STUDY_ID&01grp=STUDY_ID\" name=\"web_column_rif40_g_rif40_study_areas_study_id\" title=\"Describe STUDY_ID [NUMBER(8)]\">STUDY_ID</a>",NOT NULL,NUMBER(8),Unique study index: study_id. Created by SEQUENCE rif40_study_id_seq
RIF40_AGE_GROUPS,AGE_GROUP_ID,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">RIF40_AGE_GROUPS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&column_name_hide=AGE_GROUP_ID&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&11column_name_hide=AGE_GROUP_ID&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=AGE_GROUP_ID&01grp=AGE_GROUP_ID\" name=\"web_column_rif40_rif40_age_groups_age_group_id\" title=\"Describe AGE_GROUP_ID [NUMBER(3)]\">AGE_GROUP_ID</a>",NOT NULL,NUMBER(3),AGE_GROUP_ID
RIF40_AGE_GROUPS,FIELDNAME,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">RIF40_AGE_GROUPS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&column_name_hide=FIELDNAME&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&11column_name_hide=FIELDNAME&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=FIELDNAME&01grp=FIELDNAME\" name=\"web_column_rif40_rif40_age_groups_fieldname\" title=\"Describe FIELDNAME [VARCHAR2(50)]\">FIELDNAME</a>",NOT NULL,VARCHAR2(50),Fieldname
RIF40_AGE_GROUPS,HIGH_AGE,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">RIF40_AGE_GROUPS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&column_name_hide=HIGH_AGE&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&11column_name_hide=HIGH_AGE&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=HIGH_AGE&01grp=HIGH_AGE\" name=\"web_column_rif40_rif40_age_groups_high_age\" title=\"Describe HIGH_AGE [NUMBER(3)]\">HIGH_AGE</a>",NOT NULL,NUMBER(3),High age
RIF40_AGE_GROUPS,LOW_AGE,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">RIF40_AGE_GROUPS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&column_name_hide=LOW_AGE&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&11column_name_hide=LOW_AGE&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=LOW_AGE&01grp=LOW_AGE\" name=\"web_column_rif40_rif40_age_groups_low_age\" title=\"Describe LOW_AGE [NUMBER(3)]\">LOW_AGE</a>",NOT NULL,NUMBER(3),Low age
RIF40_AGE_GROUPS,OFFSET,"<a href=\"?vproc=web_common.display_table&00tab=web_desc&00flt=column_name_href&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&01str=1&01idx=1&01vws=1&01syn=1&01grt=1&01grc=1&01aud=1&01aus=1\" name=\"web_desc\" title=\"Describe TABLE\">RIF40_AGE_GROUPS</a>","<a href=\"?vproc=web_common.display_table&00tab=web_column&owner_hide=RIF40&table_name_hide=RIF40_AGE_GROUPS&column_name_hide=OFFSET&11owner_hide=RIF40&11table_name_hide=RIF40_AGE_GROUPS&11column_name_hide=OFFSET&01grt=1&01grc=1&01fga=1&01fgac=1&01aud=1&01aus=1&01hst=OFFSET&01grp=OFFSET\" name=\"web_column_rif40_rif40_age_groups_offset\" title=\"Describe OFFSET [NUMBER(3)]\">OFFSET</a>",NOT NULL,NUMBER(3),Offset
