SAHSU_GRD_LEVEL4,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.001.000100.1","01.001.000100.1","1","{""type"":""Point"",""coordinates"":[-6.55773,55.134]}"
"01.001.000100.2","01.001.000100.2","2","{""type"":""Point"",""coordinates"":[-6.44222,55.0974]}"
"01.001.000200.1","01.001.000200.1","3","{""type"":""Point"",""coordinates"":[-6.26176,55.1602]}"
"01.001.000300.1","01.001.000300.1","4","{""type"":""Point"",""coordinates"":[-6.3264,55.3029]}"
"01.002.000300.1","01.002.000300.1","5","{""type"":""Point"",""coordinates"":[-6.78892,55.1302]}"
"01.002.000300.2","01.002.000300.2","6","{""type"":""Point"",""coordinates"":[-6.75905,55.1305]}"
"01.002.000300.3","01.002.000300.3","7","{""type"":""Point"",""coordinates"":[-6.81604,55.107]}"
"01.002.000300.4","01.002.000300.4","8","{""type"":""Point"",""coordinates"":[-6.77836,55.085]}"
"01.002.000300.5","01.002.000300.5","9","{""type"":""Point"",""coordinates"":[-6.81778,55.0776]}"
"01.002.000400.1","01.002.000400.1","10","{""type"":""Point"",""coordinates"":[-6.79157,54.9772]}"
"01.002.000400.2","01.002.000400.2","11","{""type"":""Point"",""coordinates"":[-6.77058,54.9746]}"
"01.002.000400.3","01.002.000400.3","12","{""type"":""Point"",""coordinates"":[-6.81849,55.03]}"
"01.002.000400.4","01.002.000400.4","13","{""type"":""Point"",""coordinates"":[-6.8917,54.9975]}"
"01.002.000400.5","01.002.000400.5","14","{""type"":""Point"",""coordinates"":[-6.81477,54.9876]}"
"01.002.000400.6","01.002.000400.6","15","{""type"":""Point"",""coordinates"":[-6.79622,54.9968]}"
"01.002.000400.7","01.002.000400.7","16","{""type"":""Point"",""coordinates"":[-6.78785,54.9853]}"
"01.002.000400.8","01.002.000400.8","17","{""type"":""Point"",""coordinates"":[-6.88049,54.9732]}"
"01.002.000400.9","01.002.000400.9","18","{""type"":""Point"",""coordinates"":[-6.75839,54.9741]}"
"01.002.000500.1","01.002.000500.1","19","{""type"":""Point"",""coordinates"":[-6.67812,55.1564]}"
"01.002.000500.2","01.002.000500.2","20","{""type"":""Point"",""coordinates"":[-6.70981,55.1577]}"
"01.002.000500.3","01.002.000500.3","21","{""type"":""Point"",""coordinates"":[-6.72675,55.1364]}"
