SAHSU_GRD_LEVEL4,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.001.000100.1","01.001.000100.1","1","{""type"":""Point"",""coordinates"":[-6.55772791731488,55.1339798289566]}"
"01.001.000100.2","01.001.000100.2","2","{""type"":""Point"",""coordinates"":[-6.44221597825834,55.0974412272802]}"
"01.001.000200.1","01.001.000200.1","3","{""type"":""Point"",""coordinates"":[-6.26176087810988,55.1602420967354]}"
"01.001.000300.1","01.001.000300.1","4","{""type"":""Point"",""coordinates"":[-6.32639905852298,55.3028990692901]}"
"01.002.000300.1","01.002.000300.1","5","{""type"":""Point"",""coordinates"":[-6.78892243120441,55.1302086172764]}"
"01.002.000300.2","01.002.000300.2","6","{""type"":""Point"",""coordinates"":[-6.75905231136447,55.1304534430425]}"
"01.002.000300.3","01.002.000300.3","7","{""type"":""Point"",""coordinates"":[-6.81604319716509,55.1069767758534]}"
"01.002.000300.4","01.002.000300.4","8","{""type"":""Point"",""coordinates"":[-6.77835810159299,55.0849951857747]}"
"01.002.000300.5","01.002.000300.5","9","{""type"":""Point"",""coordinates"":[-6.81778165473627,55.0775564981082]}"
"01.002.000400.1","01.002.000400.1","10","{""type"":""Point"",""coordinates"":[-6.79157271674375,54.977236180841]}"
"01.002.000400.2","01.002.000400.2","11","{""type"":""Point"",""coordinates"":[-6.77058344569004,54.9746129889583]}"
"01.002.000400.3","01.002.000400.3","12","{""type"":""Point"",""coordinates"":[-6.81848981613982,55.0299590352776]}"
"01.002.000400.4","01.002.000400.4","13","{""type"":""Point"",""coordinates"":[-6.89169951207807,54.9975382346657]}"
"01.002.000400.5","01.002.000400.5","14","{""type"":""Point"",""coordinates"":[-6.81477028639834,54.9876099056734]}"
"01.002.000400.6","01.002.000400.6","15","{""type"":""Point"",""coordinates"":[-6.79621695013013,54.9968129542807]}"
"01.002.000400.7","01.002.000400.7","16","{""type"":""Point"",""coordinates"":[-6.78784660677158,54.9853222442324]}"
"01.002.000400.8","01.002.000400.8","17","{""type"":""Point"",""coordinates"":[-6.88048567782899,54.9732170234151]}"
"01.002.000400.9","01.002.000400.9","18","{""type"":""Point"",""coordinates"":[-6.758393463131,54.9740949216968]}"
"01.002.000500.1","01.002.000500.1","19","{""type"":""Point"",""coordinates"":[-6.67811663996179,55.1563503879145]}"
"01.002.000500.2","01.002.000500.2","20","{""type"":""Point"",""coordinates"":[-6.70980718541935,55.1577468129831]}"
"01.002.000500.3","01.002.000500.3","21","{""type"":""Point"",""coordinates"":[-6.7267486797404,55.136447977363]}"
"01.002.000500.4","01.002.000500.4","22","{""type"":""Point"",""coordinates"":[-6.65094470619508,55.1442718418584]}"
"01.002.000500.5","01.002.000500.5","23","{""type"":""Point"",""coordinates"":[-6.6597196867489,55.1365806193748]}"
"01.002.000500.6","01.002.000500.6","24","{""type"":""Point"",""coordinates"":[-6.68098717816308,55.1291923024943]}"
"01.002.000500.7","01.002.000500.7","25","{""type"":""Point"",""coordinates"":[-6.63301687486422,55.1333317838854]}"
"01.002.000500.8","01.002.000500.8","26","{""type"":""Point"",""coordinates"":[-6.64613894033696,55.1344516642013]}"
"01.002.000500.9","01.002.000500.9","27","{""type"":""Point"",""coordinates"":[-6.65648644927869,55.1283181554434]}"
"01.002.000600.1","01.002.000600.1","28","{""type"":""Point"",""coordinates"":[-6.63824440319004,55.1223813641862]}"
"01.002.000600.2","01.002.000600.2","29","{""type"":""Point"",""coordinates"":[-6.71591778770014,55.084136151997]}"
"01.002.000600.3","01.002.000600.3","30","{""type"":""Point"",""coordinates"":[-6.69840176370392,55.1059658209393]}"
"01.002.000600.4","01.002.000600.4","31","{""type"":""Point"",""coordinates"":[-6.6805009798053,55.10977931885]}"
"01.002.000600.5","01.002.000600.5","32","{""type"":""Point"",""coordinates"":[-6.64947053538463,55.1128431753191]}"
"01.002.000600.6","01.002.000600.6","33","{""type"":""Point"",""coordinates"":[-6.64588042485356,55.1051573079358]}"
"01.002.000600.7","01.002.000600.7","34","{""type"":""Point"",""coordinates"":[-6.70546508975794,55.0825699117833]}"
"01.002.000600.8","01.002.000600.8","35","{""type"":""Point"",""coordinates"":[-6.64154260084995,55.0957412776737]}"
"01.002.000600.9","01.002.000600.9","36","{""type"":""Point"",""coordinates"":[-6.6593992381303,55.0920630884814]}"
"01.002.000700.1","01.002.000700.1","37","{""type"":""Point"",""coordinates"":[-6.64216393740441,55.0875355519004]}"
"01.002.000700.2","01.002.000700.2","38","{""type"":""Point"",""coordinates"":[-6.63234102349602,55.0845253053751]}"
"01.002.000700.3","01.002.000700.3","39","{""type"":""Point"",""coordinates"":[-6.68139369199983,55.0736112790117]}"
"01.002.000700.4","01.002.000700.4","40","{""type"":""Point"",""coordinates"":[-6.66989019772179,55.0757863965127]}"
"01.002.000700.5","01.002.000700.5","41","{""type"":""Point"",""coordinates"":[-6.65557893306339,55.0824565772164]}"
"01.002.000700.6","01.002.000700.6","42","{""type"":""Point"",""coordinates"":[-6.65527892781776,55.0764924091146]}"
"01.002.000700.7","01.002.000700.7","43","{""type"":""Point"",""coordinates"":[-6.64177453857093,55.0760638490506]}"
"01.002.000800.1","01.002.000800.1","44","{""type"":""Point"",""coordinates"":[-6.62417239843503,55.0731620812448]}"
"01.002.000800.2","01.002.000800.2","45","{""type"":""Point"",""coordinates"":[-6.63017656619213,55.0682105066765]}"
"01.002.000800.3","01.002.000800.3","46","{""type"":""Point"",""coordinates"":[-6.65738183765676,55.0697710741117]}"
"01.002.000800.4","01.002.000800.4","47","{""type"":""Point"",""coordinates"":[-6.65261055835296,55.0673626062272]}"
"01.002.000800.5","01.002.000800.5","48","{""type"":""Point"",""coordinates"":[-6.6399404976534,55.0685140880942]}"
"01.002.000800.6","01.002.000800.6","49","{""type"":""Point"",""coordinates"":[-6.67514820664745,55.0621383439916]}"
"01.002.000800.7","01.002.000800.7","50","{""type"":""Point"",""coordinates"":[-6.62125328977142,55.0654106617747]}"
"01.002.000900.1","01.002.000900.1","51","{""type"":""Point"",""coordinates"":[-6.63008204093781,55.0602115328996]}"
"01.002.000900.2","01.002.000900.2","52","{""type"":""Point"",""coordinates"":[-6.6199539085122,55.0538991948755]}"
"01.002.000900.3","01.002.000900.3","53","{""type"":""Point"",""coordinates"":[-6.64068428759861,55.0531966990226]}"
"01.002.000900.4","01.002.000900.4","54","{""type"":""Point"",""coordinates"":[-6.61200592860252,55.0470989921497]}"
"01.002.000900.5","01.002.000900.5","55","{""type"":""Point"",""coordinates"":[-6.64081451743944,55.0457000288173]}"
